基金名称,基金代码,类别,
华安黄金ETF联接A,000216,黄金类,
天弘标普500发起(QDII-FOF)A,007721,海外股票类,
摩根标普500指数(QDII)人民币A,017641,海外股票类,
摩根纳斯达克100指数(QDII)人民币A,019172,海外股票类,
华安纳斯达克100ETF联接(QDII)A,040046,海外股票类,
大成标普500等权重指数(QDII)A人民币,096001,海外股票类,
摩根欧洲动力策略股票(QDII)A,006282,海外股票类,
建信富时100指数A(人民币),539003,海外股票类,
华安国际龙头(DAX)ETF联接A,000614,海外股票类,
华安法国CAC40ETF发起式联接(QDII)A,021539,海外股票类,
华安三菱日联日经225ETF发起式联接(QDII)A,020712,海外股票类,
摩根日本精选股票(QDII)A,007280,海外股票类,
易方达中短期美元债债券(QDII)A(人民币份额),007360,海外债券/稳健类,
富国全球债券(QDII)人民币A,100050,海外债券/稳健类,
摩根海外稳健配置混合(QDII-FOF)人民币A,017970,海外债券/稳健类,
天弘上证50ETF联接A,001548,国内股票类,
南方创业板ETF联接A,002656,国内股票类,
安信企业价值优选混合A,004393,国内股票类,
华泰柏瑞中证红利低波ETF联接A类,007466,国内股票类,
易方达中证红利ETF联接A,009051,国内股票类,
易方达上证科创50ETF联接A,011608,国内股票类,
天弘恒生科技指数A,012348,国内股票类,
易方达恒生科技ETF联接(QDII)A,013308,国内股票类,
中泰兴为价值精选A,013776,国内股票类,
南方均衡成长混合A,016492,国内股票类,
大成中证A50ETF联接A,021212,国内股票类,
景顺长城中证A500ETF联接基金A,022444,国内股票类,
易方达沪深300ETF联接A,110020,国内股票类,
兴全商业模式混合(LOF),163415,国内股票类,
南方恒生指数ETF联接(LOF)A,501302,国内股票类,
东方红京东大数据混合A,001564,国内股票类,
大成睿享混合A,008269,国内股票类,
华安精致生活混合A,011128,国内股票类,
易方达逆向投资混合A,016492,国内股票类,
富国天恒混合A,011830,国内股票类,
南方中证500ETF联接(LOF)A,160119,国内股票类,
招商中证1000指数增强A,004194,国内股票类,
万家中证1000指数增强A,005313,国内股票类,
博道中证1000指数增强A,017644,国内股票类,
招商中证2000指数增强A,019918,国内股票类,
华泰柏瑞中证2000指数增强A,019923,国内股票类,
国泰利享中短债债券A,006597,国内债券类,
易方达安悦超短债债券A,006662,国内债券类,
天弘弘择短债A,007823,国内债券类,
易方达安瑞短债债券D,019264,国内债券类,
富国信用债债券A,000191,国内债券类,
兴全稳泰债券A,003949,国内债券类,
易方达中债1-3年国开行债券指数A,007169,国内债券类,
易方达中债3-5年国开行债券指数A,007171,国内债券类,
天弘同利债券(LOF)E,009510,国内债券类,
富国中债0-2年国开行债券指数A,010859,国内债券类,
博时中债7-10政金债指数A,017837,国内债券类,
易方达中债新综指(LOF)D,021606,国内债券类,
招商招悦纯债D,023072,国内债券类,
交银裕隆纯债债券A,519782,国内债券类,
兴全天添益货币B,001821,货币基金类